,Movie Name,Relased Year,Rank,Metascore,Director
0,M3GAN,2022,1,94,Gerard Johnstone
1,The Menu,2022,2,88,Mark Mylod
2,Puss in Boots: The Last Wish,2022,3,95,Joel Crawford
3,The Pale Blue Eye,2022,4,62,Scott Cooper
4,Avatar: The Way of Water,2022,5,77,James Cameron
5,A Man Called Otto,2022,6,69,Marc Forster
6,Plane,2023,7,76,Jean-François Richet
7,The Banshees of Inisherin,2022,8,97,Martin McDonagh
8,Everything Everywhere All at Once,2022,9,95,"Daniel Kwan, Daniel Scheinert"
9,The Fabelmans,2022,10,92,Steven Spielberg
10,Babylon,2022,11,55,Damien Chazelle
11,The Whale,2022,12,66,Darren Aronofsky
12,Glass Onion: A Knives Out Mystery,2022,13,92,Rian Johnson
13,The Hatchet Wielding Hitchhiker,2023,14,90,Colette Camden
14,Skinamarink,2022,15,72,Kyle Edward Ball
15,Sick,2022,16,87,John Hyams
16,White Noise,2022,17,64,Noah Baumbach
17,Devotion,2022,18,81,J.D. Dillard
18,Mars One,2022,19,97,Gabriel Martins
19,The Offering,2022,20,90,Oliver Park
20,Noise,2022,21,100,Natalia Beristáin
21,House Party,2023,22,33,Calmatic
22,Women Talking,2022,23,91,Sarah Polley
23,The Old Way,2023,24,35,Brett Donowho
24,Tár,2022,25,90,Todd Field
25,Emily the Criminal,2022,26,94,John Patton Ford
26,The Subtle Art of Not Giving a #@%!,2023,27,67,Nathan Price
27,Aftersun,2022,28,96,Charlotte Wells
28,Black Panther: Wakanda Forever,2022,29,84,Ryan Coogler
29,Bullet Train,2022,30,54,David Leitch
