,S.No,Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low,
,1,ACLBSL,,53.41,721.00,725.00,712.00,712.00,718.73,149.00,726.00,"107,091.00",13,-14.00,13.00,-1.93,1.83,-0.95,799.82,881.77,"1,566.00",688.20,
,2,ADBL,,33.41,314.40,319.50,314.00,317.00,316.28,"7,447.00",314.30,"2,355,373.80",92,2.70,5.50,0.86,1.75,0.23,320.92,338.03,510.00,298.00,
,3,AHPC,,48.39,278.00,282.00,274.70,277.00,277.24,"18,936.00",278.00,"5,249,868.40",82,-1.00,7.30,-0.36,2.66,-0.09,330.19,364.81,628.30,251.40,
,4,AKJCL,,45.24,176.00,178.00,176.00,177.00,176.96,"11,648.00",178.50,"2,061,232.00",61,-1.50,2.00,-0.84,1.14,0.02,196.53,215.36,350.00,161.00,
,5,AKPL,,46.76,360.00,360.00,353.00,358.00,357.03,"17,620.00",357.90,"6,290,834.40",103,0.10,7.00,0.03,1.98,0.27,425.37,435.28,624.00,342.00,
,6,ALBSL,,41.87,930.00,948.00,923.00,923.00,930.07,458.00,944.00,"425,973.00",16,-21.00,25.00,-2.22,2.71,-0.77,"1,126.15","1,197.39","1,750.00",874.30,
,7,ALICL,,43.24,489.00,502.90,484.20,495.00,493.30,"6,803.00",498.90,"3,355,901.40",64,-3.90,18.70,-0.78,3.86,0.34,541.08,613.71,"1,374.00",428.00,
,8,API,,38.90,215.00,217.50,214.00,215.00,215.07,"53,958.00",217.00,"11,604,709.30",280,-2.00,3.50,-0.92,1.64,-0.03,241.47,275.90,575.00,200.00,
,9,AVYAN,,46.23,711.10,724.00,711.10,718.00,716.23,"1,441.00",724.90,"1,032,090.00",107,-6.90,12.90,-0.95,1.81,0.25,-,-,963.00,316.00,
,10,BARUN,,35.01,211.00,219.00,211.00,216.20,215.87,"3,098.00",211.90,"668,764.40",29,4.30,8.00,2.03,3.79,0.15,298.72,351.05,595.00,201.00,
,11,BFC,,35.44,316.10,324.00,315.30,319.00,317.95,"3,954.00",320.00,"1,257,173.40",35,-1.00,8.70,-0.31,2.76,0.33,360.94,378.45,577.00,298.00,
,12,BHDC,,48.39,336.10,350.50,336.10,342.10,343.46,"5,406.00",339.90,"1,856,735.70",95,2.20,14.40,0.65,4.28,-0.40,-,-,520.00,310.00,
,13,BHL,,46.51,249.50,252.00,239.80,252.00,249.06,"1,515.00",254.50,"377,324.00",64,-2.50,12.20,-0.98,5.09,1.17,273.51,-,397.00,104.70,
,14,BNHC,,48.62,338.80,354.90,338.80,354.90,348.73,"5,678.00",345.10,"1,980,080.00",43,9.80,16.10,2.84,4.75,1.74,384.35,433.02,744.00,246.70,
,15,BNT,,56.76,"13,175.20","13,380.00","12,653.50","13,380.00","12,848.88",230.00,"13,444.00","2,955,242.00",19,-64.00,726.50,-0.48,5.74,3.97,"12,894.37","13,258.86","17,670.00","11,088.70",
,16,BPCL,,41.89,308.00,310.00,305.30,310.00,308.69,"4,220.00",310.00,"1,302,682.80",45,0.00,4.70,0.00,1.54,0.42,316.13,337.12,498.00,288.00,
,17,CBBL,,41.27,"1,112.00","1,140.00","1,110.00","1,124.00","1,125.68","5,198.00","1,132.00","5,851,290.20",120,-8.00,30.00,-0.71,2.70,-0.15,"1,035.18","1,061.29","1,650.00",882.00,
,18,CBL,,32.97,222.00,225.90,218.80,224.00,222.28,"102,453.00",224.50,"22,772,871.00",289,-0.50,7.10,-0.22,3.24,0.77,222.41,232.07,285.40,194.00,
,19,CBLD88,,42.37,845.00,845.00,842.00,842.00,843.58,95.00,858.00,"80,140.00",3,-16.00,3.00,-1.86,0.36,-0.19,-,-,"1,000.00",834.30,
,20,CCBD88,,42.68,842.50,842.50,842.50,842.50,842.50,25.00,845.50,"21,062.50",1,-3.00,0.00,-0.35,0.00,0.00,-,-,"1,000.00",837.00,
,21,CCBL,,48.55,192.00,192.00,188.00,189.00,188.74,"20,863.00",191.30,"3,937,728.90",128,-2.30,4.00,-1.20,2.13,0.14,207.69,219.08,280.00,178.00,
,22,CFCL,,36.49,310.00,322.40,310.00,314.00,313.99,"4,060.00",316.10,"1,274,810.80",39,-2.10,12.40,-0.66,4.00,0.00,317.62,332.07,560.00,237.00,
,23,CGH,,40.76,"1,008.00","1,008.00",990.00,"1,008.00",995.83,"3,148.00","1,010.00","3,134,873.40",52,-2.00,18.00,-0.20,1.82,1.21,"1,025.95","1,108.64","1,565.00",900.20,
,24,CHCL,,36.51,381.10,386.00,381.10,383.10,383.47,"6,641.00",381.10,"2,546,598.00",52,2.00,4.90,0.52,1.29,-0.10,388.88,410.33,579.00,347.90,
,25,CHDC,,43.02,669.00,669.00,656.00,659.00,658.46,"3,441.00",664.80,"2,265,765.30",67,-5.80,13.00,-0.87,1.98,0.08,698.11,729.17,"1,130.00",590.00,
,26,CHL,,41.57,212.90,218.80,212.90,217.50,215.54,"2,118.00",217.10,"456,510.00",21,0.40,5.90,0.18,2.77,0.90,243.97,285.46,550.80,193.10,
,27,CIT,,40.07,"1,885.00","1,890.00","1,865.10","1,880.00","1,877.99","2,492.00","1,888.00","4,679,961.00",90,-8.00,24.90,-0.42,1.34,0.11,"2,210.22","2,430.71","3,646.00","1,780.00",
,28,CLBSL,,47.42,753.70,776.00,725.00,776.00,762.15,770.00,769.00,"586,853.70",16,7.00,51.00,0.91,7.03,1.79,816.51,833.39,"1,233.00",662.50,
,29,CMF1,,50.69,8.45,8.45,8.19,8.25,8.30,"1,800.00",8.30,"14,940.00",5,-0.05,0.26,-0.60,3.17,-0.61,8.26,8.66,10.49,7.20,
,30,CMF2,,45.70,8.48,8.48,8.32,8.32,8.42,"3,200.00",8.33,"26,944.00",4,-0.01,0.16,-0.12,1.92,-1.20,8.73,9.19,10.89,7.60,
,31,CORBL,,37.90,285.50,293.70,285.50,290.00,289.11,310.00,290.00,"89,624.50",7,0.00,8.20,0.00,2.87,0.31,293.37,349.65,999.00,211.30,
,32,CZBIL,,41.20,186.00,186.00,183.00,184.00,183.92,"14,340.00",184.90,"2,637,379.70",81,-0.90,3.00,-0.49,1.64,0.04,199.29,217.10,323.30,180.00,
,33,DDBL,,52.94,983.00,"1,015.00",983.00,"1,007.00","1,005.74","12,188.00",987.00,"12,257,995.70",187,20.00,32.00,2.03,3.26,0.12,962.98,"1,000.97","1,407.00",861.00,
,34,DHPL,,42.69,180.10,183.00,180.00,180.50,180.58,"2,603.00",183.10,"470,042.30",33,-2.60,3.00,-1.42,1.67,-0.04,198.65,220.25,381.40,160.10,
,35,DORDI,,49.69,245.00,246.50,237.30,246.00,242.15,"1,125.00",247.00,"272,414.50",79,-1.00,9.20,-0.40,3.88,1.57,-,-,408.00,225.50,
,36,EBL,,31.05,476.00,476.00,466.60,467.00,469.29,"10,102.00",471.00,"4,740,772.40",114,-4.00,9.40,-0.85,2.01,-0.49,485.04,493.13,640.00,411.00,
,37,EDBL,,49.55,304.10,313.00,304.00,308.00,309.50,"4,151.00",308.50,"1,284,742.50",47,-0.50,9.00,-0.16,2.96,-0.49,337.01,363.57,620.10,291.20,
